RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,10000000,Surname_1,600,France,Male,30,0,0.0,1,0,0,50000.0,0
2,10000001,Surname_2,601,Spain,Female,31,1,100.5,2,1,1,50010.5,1
3,10000002,Surname_3,602,Germany,Male,32,2,201.0,3,0,0,50021.0,0
4,10000003,Surname_4,603,Italy,Female,33,3,301.5,4,1,1,50031.5,1
5,10000004,Surname_5,604,France,Male,34,4,402.0,1,0,0,50042.0,0
6,10000005,Surname_6,605,Spain,Female,35,5,502.5,2,1,1,50052.5,1
7,10000006,Surname_7,606,Germany,Male,36,6,603.0,3,0,0,50063.0,0
8,10000007,Surname_8,607,Italy,Female,37,7,703.5,4,1,1,50073.5,1
9,10000008,Surname_9,608,France,Male,38,8,804.0,1,0,0,50084.0,0
10,10000009,Surname_10,609,Spain,Female,39,9,904.5,2,1,1,50094.5,1
11,10000010,Surname_11,610,Germany,Male,40,0,1005.0,3,0,0,50105.0,0
12,10000011,Surname_12,611,Italy,Female,41,1,1105.5,4,1,1,50115.5,1
13,10000012,Surname_13,612,France,Male,42,2,1206.0,1,0,0,50126.0,0
14,10000013,Surname_14,613,Spain,Female,43,3,1306.5,2,1,1,50136.5,1
15,10000014,Surname_15,614,Germany,Male,44,4,1407.0,3,0,0,50147.0,0
16,10000015,Surname_16,615,Italy,Female,45,5,1507.5,4,1,1,50157.5,1
17,10000016,Surname_17,616,France,Male,46,6,1608.0,1,0,0,50168.0,0
18,10000017,Surname_18,617,Spain,Female,47,7,1708.5,2,1,1,50178.5,1
19,10000018,Surname_19,618,Germany,Male,48,8,1809.0,3,0,0,50189.0,0
20,10000019,Surname_20,619,Italy,Female,49,9,1909.5,4,1,1,50199.5,1
21,10000020,Surname_21,620,France,Male,50,0,2010.0,1,0,0,50210.0,0
22,10000021,Surname_22,621,Spain,Female,51,1,2110.5,2,1,1,50220.5,1
23,10000022,Surname_23,622,Germany,Male,52,2,2211.0,3,0,0,50231.0,0
24,10000023,Surname_24,623,Italy,Female,53,3,2311.5,4,1,1,50241.5,1
25,10000024,Surname_25,624,France,Male,54,4,2412.0,1,0,0,50252.0,0
26,10000025,Surname_26,625,Spain,Female,55,5,2512.5,2,1,1,50262.5,1
27,10000026,Surname_27,626,Germany,Male,56,6,2613.0,3,0,0,50273.0,0
